task_id,task_name,lightautoml,MLJAR_B,MLJAR_P,TPOT,constantpredictor,RandomForest,TunedRandomForest_star,AutoGluon_B,AutoGluon_HQ,AutoGluon_HQIL,autosklearn,autosklearn2,flaml,GAMA_B,H2OAutoML
3945,KDDCup09...,0.851(0.012),-,0.837(0.015),0.831(0.017)2,0.500(0.000),0.796(0.018),0.795(0.021),0.849(0.013),0.848(0.013),0.848(0.013),0.838(0.015),0.838(0.014),0.825(0.017),0.818(0.020),0.837(0.014)
146818,Australi...,0.946(0.020),0.943(0.020),0.944(0.017),0.939(0.022),0.500(0.000),0.940(0.021),0.938(0.022),0.941(0.018),0.942(0.017),0.942(0.017),0.931(0.022),0.936(0.019),0.938(0.023),0.941(0.022)1,0.935(0.025)
146820,wilt,0.994(0.007),0.999(0.000)8,0.995(0.009),0.996(0.004),0.500(0.000),0.989(0.012),0.991(0.010),0.995(0.008),0.994(0.010),0.994(0.010),0.994(0.009),0.995(0.007),0.991(0.011),0.996(0.004),0.992(0.010)
167120,numerai2...,0.531(0.004),0.530(0.004),0.531(0.005),0.528(0.007),0.500(0.000),0.519(0.006),0.520(0.006),0.531(0.004),0.528(0.004),0.529(0.004),0.530(0.004),0.531(0.004),0.528(0.004),0.530(0.006),0.531(0.004)
168350,phoneme,0.966(0.008),-,0.967(0.008),0.969(0.008),0.500(0.000),0.965(0.009),0.966(0.009),0.968(0.009),0.968(0.009),0.968(0.009),0.963(0.009),0.970(0.009),0.972(0.008),0.971(0.010)2,0.968(0.009)
168757,credit-g,0.796(0.037),-,0.785(0.046),0.791(0.052),0.500(0.000),0.801(0.038),0.799(0.035),0.796(0.041),0.788(0.044),0.763(0.053),0.778(0.030),0.796(0.041),0.788(0.039),0.794(0.033),0.779(0.048)
168868,APSFailu...,0.993(0.002),0.995(nan),0.992(0.002),0.989(0.004)1,0.500(0.000),0.991(0.002),0.992(0.003),0.993(0.002),0.993(0.002),0.993(0.002),0.993(0.002),0.992(0.001),0.992(0.002),0.990(0.003),0.993(0.002)
168911,jasmine,0.880(0.018),0.885(0.016),0.886(0.019),0.886(0.013),0.500(0.000),0.888(0.016),0.888(0.017),0.886(0.018),0.885(0.019),0.885(0.019),0.885(0.016),0.888(0.017),0.887(0.016),0.891(0.013),0.887(0.018)
189354,airlines,0.727(0.002),0.731(0.002),0.730(0.002),0.722(0.002),0.500(0.000),0.661(0.002),0.661(0.002),0.732(0.002),0.732(0.002),0.732(0.002),0.726(0.003),0.727(0.002),0.731(0.002),0.717(0.007),0.731(0.002)
189356,albert,0.780(0.003),0.783(0.003),0.765(0.003),0.718(0.014)1,0.500(0.000),0.738(0.003),0.738(0.002),0.782(0.002),0.782(0.002),0.782(0.003),0.756(0.003),0.737(0.003),0.770(0.002),0.726(0.006),0.761(0.003)
189922,gina,0.990(0.006),0.991(0.005),0.990(0.005),0.988(0.007)1,0.500(0.000),0.984(0.008),0.984(0.008),0.991(0.005),0.992(0.005),0.992(0.005),0.990(0.005),0.988(0.007),0.992(0.005),0.991(0.006),0.991(0.005)
190137,ozone-le...,0.930(0.018),-,0.929(0.019),0.928(0.026),0.500(0.000),0.920(0.036),0.921(0.033),0.933(0.016),0.931(0.016),0.931(0.016),0.926(0.019),0.927(0.026),0.922(0.019),0.925(0.030),0.930(0.020)
190392,madeline,0.935(0.010),0.956(0.011),0.950(0.012),0.948(0.009),0.500(0.000),0.887(0.017),0.932(0.013),0.945(0.008),0.944(0.008),0.944(0.008),0.965(0.007),0.945(0.008),0.954(0.007),0.957(0.009),0.943(0.010)
190410,philippi...,0.866(0.014),0.882(0.013),0.872(0.012),0.879(0.012)1,0.500(0.000),0.849(0.016),0.858(0.015),0.878(0.013),0.877(0.011),0.877(0.011),0.915(0.011),0.877(0.014),0.891(0.014),0.892(0.016),0.882(0.011)
190411,ada,0.921(0.018),0.921(0.018),0.921(0.018),0.917(0.019),0.500(0.000),0.903(0.014),0.902(0.016),0.921(0.018),0.920(0.018),0.920(0.018),0.918(0.018),0.919(0.018),0.924(0.018),0.920(0.019),0.921(0.019)
190412,arcene,0.848(0.176),0.870(0.183),-,0.831(0.151)6,0.500(0.000),0.857(0.175),0.828(0.183),0.873(0.155),0.873(0.173),0.852(0.169),0.866(0.141),0.845(0.196),0.868(0.154),0.878(0.154)1,0.839(0.228)
359955,blood-tr...,0.753(0.058),-,0.753(0.053),0.724(0.102),0.500(0.000),0.686(0.064),0.686(0.065),0.758(0.046),0.759(0.043),0.759(0.043),0.747(0.050),0.756(0.049),0.730(0.042),0.753(0.036),0.764(0.041)
359956,qsar-bio...,0.934(0.034),0.932(nan),0.937(0.031),0.926(0.045),0.500(0.000),0.932(0.033),0.935(0.029),0.942(0.032),0.941(0.035),0.939(0.034),0.931(0.034),0.936(0.027),0.930(0.031),0.936(0.032),0.939(0.034)
359958,pc4,0.950(0.015),0.951(0.016),0.953(0.016),0.944(0.021),0.500(0.000),0.947(0.019),0.949(0.019),0.952(0.021),0.949(0.022),0.950(0.023),0.942(0.019),0.949(0.018),0.950(0.019),0.950(0.022),0.948(0.022)
359962,kc1,0.831(0.032),0.828(0.030),0.824(0.032),0.844(0.038),0.500(0.000),0.837(0.037),0.841(0.037),0.840(0.034),0.840(0.035),0.840(0.035),0.843(0.033),0.838(0.037),0.841(0.040),0.852(0.030),0.829(0.030)
359965,kr-vs-kp,1.000(0.001),-,1.000(0.001),0.999(0.001),0.500(0.000),0.999(0.001),0.999(0.002),1.000(0.000),1.000(0.001),1.000(0.001),1.000(0.000),1.000(0.000),0.961(0.123),1.000(0.000),1.000(0.001)
359966,Internet...,0.986(0.010),0.982(0.011)4,0.977(0.012),0.981(0.012)6,0.500(0.000),0.986(0.012),0.988(0.009),0.985(0.011),0.986(0.012),0.978(0.016),0.984(0.012),0.984(0.013),0.987(0.011),0.983(0.012),0.986(0.010)
359967,Biorespo...,0.884(0.019),0.882(0.017),0.883(0.016),0.880(0.020)1,0.500(0.000),0.881(0.018),0.881(0.018),0.886(0.017),0.884(0.016),0.878(0.016),0.873(0.017),0.870(0.018),0.884(0.016),0.884(0.017),0.887(0.016)
359968,churn,0.926(0.020),0.928(0.021),0.925(0.019),0.919(0.025),0.500(0.000),0.916(0.023),0.912(0.021),0.922(0.021),0.924(0.022),0.923(0.023),0.922(0.021),0.920(0.024),0.922(0.023),0.920(0.023),0.925(0.022)
359971,Phishing...,0.998(0.001),-,0.998(0.001),0.997(0.001),0.500(0.000),0.996(0.002),0.996(0.002),0.998(0.001),0.998(0.001),0.997(0.002),0.997(0.001),0.997(0.001),0.998(0.001),0.997(0.001)1,0.998(0.001)
359972,sylvine,0.988(0.003),0.992(0.003),0.992(0.003),0.992(0.002),0.500(0.000),0.983(0.004),0.984(0.004),0.990(0.003),0.989(0.003),0.989(0.003),0.991(0.003),0.990(0.002),0.991(0.002),0.993(0.002)2,0.990(0.003)
359973,christine,0.831(0.013),0.827(0.013),0.823(0.012),0.811(0.013)2,0.500(0.000),0.805(0.016),0.809(0.013),0.826(0.014),0.827(0.013),0.827(0.013),0.828(0.015),0.819(0.011),0.824(0.013),0.828(0.017),0.825(0.013)
359975,Satellite,0.986(0.025),-,0.993(0.007),0.984(0.038),0.500(0.000),0.985(0.029),0.984(0.031),0.996(0.005),0.996(0.007),0.996(0.007),0.994(0.007),0.995(0.007),0.978(0.041),0.996(0.003),0.979(0.033)
359979,Amazon e...,0.879(0.009),0.905(0.013),0.903(0.013),0.864(0.014),0.500(0.000),0.863(0.015),0.863(0.014),0.902(0.012),0.901(0.011),0.901(0.011),0.853(0.017),0.876(0.014),0.876(0.014),0.867(0.012)1,0.877(0.012)
359980,nomao,0.997(0.001),0.997(0.000)8,0.997(0.001),0.995(0.001),0.500(0.000),0.995(0.001),0.995(0.001),0.997(0.001),0.997(0.001),0.997(0.001),0.996(0.001),0.996(0.001),0.997(0.001),0.995(0.001),0.996(0.001)
